country,year,voter_turnout,population_millions,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,corruption_index,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting
MT,2019,72.7,0.475,33382.2677499267,4.0,0,15,54.0,94.7242373261706,40.4,1,0
NL,2019,41.93,17.181,53955.0770024266,4.9,0,61,82.0,92.6062472401044,42.6,0,0
PL,2019,45.68,37.977,15658.2120316794,3.9,0,15,60.0,60.0533306480907,40.6,1,1
PT,2019,30.75,10.336,23541.1401075289,7.2,0,33,64.0,61.1233069673808,45.0,1,1
RO,2019,51.2,19.533,12416.134317959,5.3,0,12,47.0,53.1445711571868,42.1,1,1
SE,2019,55.27,10.12,54018.4554391861,6.5,0,24,85.0,87.4737430925296,40.6,0,1
SI,2019,28.89,2.067,25888.0481065655,5.1,0,15,60.0,55.1913430955675,43.8,1,1
SK,2019,22.74,5.443,19573.3717031314,6.5,0,15,50.0,53.4881496935559,40.2,1,0
AT,2024,56.25,9.105,56579.504175468,5.1,0,29,71.0,69.2265358276021,43.5,0,1
BE,2024,89.01,11.743,55291.4754541329,5.5,1,66,73.0,87.551492636772,41.9,1,1
BG,2024,33.78,6.448,15853.208636704,4.3,1,17,45.0,73.7322671584613,46.8,1,1
CY,2024,58.86,0.949,36623.69140625,5.8,0,20,53.0,66.6739477522639,40.2,1,1
CZ,2024,36.45,10.828,31761.5944102491,2.6,0,20,57.0,72.7352388396817,43.7,1,0
DE,2024,64.74,83.119,54776.7668235491,3.1,0,66,78.0,81.9034366692129,45.7,0,1
DK,2024,58.25,5.933,68043.5466971243,5.1,0,51,90.0,88.552638542867,42.2,0,1
EE,2024,37.64,1.366,30264.0064885057,6.4,0,20,76.0,70.6770085523126,42.3,1,1
EL,2024,41.24,10.402,23343.7103964562,11.1,1,43,49.0,78.7746303842088,46.6,1,1
ES,2024,46.39,48.085,33493.2225409111,12.2,0,38,60.0,80.128491001856,45.3,0,1
FI,2024,40.38,5.564,52834.2916752703,7.2,0,29,87.0,74.0062548602828,43.5,0,1
FR,2024,51.49,68.436,44700.1384177544,7.3,0,66,71.0,78.7804323126547,42.3,0,1
HR,2024,21.35,3.851,22184.2279304842,6.1,0,11,50.0,57.2431560672198,45.4,1,1
HU,2024,59.46,9.6,22230.6277875187,4.1,0,20,42.0,70.2923026891431,44.2,1,1
IE,2024,50.65,5.271,106818.917130804,4.3,0,51,77.0,64.1152082461268,39.1,0,0
IT,2024,48.31,58.997,39277.0838783918,7.7,0,66,56.0,69.5381540123301,48.4,0,1
LT,2024,28.97,2.857,27786.0057829276,6.9,0,20,61.0,68.575454583199,44.2,1,1
LU,2024,82.29,0.661,133230.619178899,5.2,1,66,78.0,94.8015300320787,39.7,1,1
LV,2024,33.82,1.895,22710.2637544197,6.5,0,20,60.0,68.3586316343061,43.8,1,0
MT,2024,72.98,0.542,40905.8059585057,3.5,0,20,51.0,95.6272277147965,40.1,1,0
NL,2024,46.18,17.811,63515.6030780019,3.6,0,66,79.0,95.3221682092129,42.5,0,0
PL,2024,40.65,36.754,22145.2660647429,2.8,0,20,54.0,59.8859561370214,42.6,1,1
PT,2024,36.47,10.467,27634.6183139773,6.5,0,38,61.0,61.2048652633664,46.9,1,1
RO,2024,52.4,19.055,18244.4186876321,5.6,0,17,46.0,52.1645747011867,43.6,1,1
SE,2024,53.39,10.522,54950.2834725622,7.7,0,29,82.0,88.631216160938,40.8,0,1
SI,2024,41.8,2.117,32660.4753581346,3.7,0,20,56.0,55.5378927789875,44.9,1,1
SK,2024,34.38,5.429,24614.8734642794,5.8,0,20,54.0,53.190805019646,42.2,1,0
