country,year,voter_turnout,population,gdp_per_capita,unemployment_rate,compulsory_voting,years_eu_membership,urbanization_rate,median_age,eu_net_beneficiary,weekend_voting,national_turnout
PT,2009,36.77,10558177,24949.0413566739,7.553,0,23,60.3510029424595,40.4,1,1,59.68
RO,2009,27.67,20537875,10435.1561230787,5.787,0,2,53.6297858153706,38.7,1,1,39.2
SE,2009,45.53,9219637,55817.1759726485,6.235,0,14,84.7517366727063,40.6,0,1,81.99
SI,2009,28.37,2021316,27461.9764165315,4.371,0,5,50.3620036820409,41.0,1,1,63.1
SK,2009,19.64,5379233,18744.3192278346,9.514,0,5,54.895930446636,36.3,1,0,54.67
AT,2014,45.39,8479823,50305.3545774973,5.367,0,19,67.2981308784247,42.6,0,1,74.91
BE,2014,89.64,11159407,46964.5946777056,8.425,1,56,85.7415410247275,41.1,1,1,89.37
BG,2014,35.84,7160005,7795.98092108928,12.941,1,7,72.9632821572019,43.3,1,1,51.05
CY,2014,43.97,1183895,27764.73046875,16.131,0,10,67.2102333625375,36.1,1,1,78.7
CZ,2014,18.2,10514272,20260.4954999375,6.953,0,10,73.1622186934979,40.4,1,0,59.48
DE,2014,48.1,80645605,47206.8353514242,5.316,0,56,80.4732318400362,45.4,0,1,71.53
DK,2014,56.32,5614932,61377.5940590412,7.384,0,41,87.5436524760432,41.0,0,1,87.74
EE,2014,36.52,1317997,19310.3874900757,8.631,0,10,68.0923458296768,39.6,1,1,63.53
EL,2014,59.97,10965211,21573.3449762805,27.686,1,33,77.0951999650171,42.4,1,1,71.76
ES,2014,43.81,46604197,29228.846559842,26.094,0,28,78.9858086902112,41.3,0,1,68.94
FI,2014,39.1,5438972,49691.0145200739,8.193,0,19,70.6742118159277,42.3,0,1,67.37
FR,2014,42.43,65997932,42669.1795111893,9.913,0,56,77.2440721470918,40.6,0,1,57.22
HR,2014,25.24,4233922,14134.9474982889,17.231,0,1,55.3659479687433,42.4,1,1,54.17
HU,2014,28.97,9872734,13739.4620151401,10.177,0,10,69.9277636266638,41.1,1,1,61.84
IE,2014,52.44,4623816,52537.6108648692,13.735,0,41,62.4047157756118,35.4,0,0,69.9
IT,2014,57.22,60311613,35701.6746002376,12.149,0,56,69.3073989916076,44.4,0,1,75.19
LT,2014,47.35,2961250,15636.5252586048,11.77,0,10,67.0092086791992,42.1,1,1,52.93
LU,2014,85.55,543360,120000.140729859,6.045,1,56,89.9413746679705,39.1,1,1,91.15
LV,2014,30.24,2012647,14484.4715282132,11.867,0,10,67.847334482933,42.1,1,0,58.8
MT,2014,74.8,424810,25415.5566867731,6.115,0,10,94.3906567856206,40.5,1,0,92.95
NL,2014,37.32,16804432,52602.2860520766,7.241,0,56,89.1749992370605,41.6,0,0,74.56
PL,2014,23.83,38040196,13621.9023794031,10.293,0,10,60.5333187465323,38.8,1,1,48.92
PT,2014,33.67,10457295,21676.4859642714,16.237,0,28,61.1405315215642,42.6,1,1,58.03
RO,2014,32.44,19983693,9497.67411615237,7.096,0,7,53.9101758034365,40.5,1,1,41.76
SE,2014,51.07,9600379,60843.9888799369,8.052,0,19,85.9249771259894,40.9,0,1,85.81
SI,2014,24.55,2059953,23236.9655321695,10.103,0,10,50.0466580754027,42.2,1,1,51.73
SK,2014,13.05,5413393,18312.7805149823,14.226,0,10,54.1384024098892,38.2,1,0,59.11
AT,2019,59.8,8840521,51194.0749841299,4.933,0,24,68.1046787227623,43.2,0,1,75.59
BE,2019,88.47,11427054,47487.2100392561,5.941,1,61,86.8883449485575,41.6,1,1,88.38
BG,2019,32.64,6710798,9849.38397225174,5.211,1,12,73.600212097168,45.4,1,1,53.85
CY,2019,44.99,1270737,29120.375,8.504,0,15,66.8255530496405,38.4,1,1,66.74
CZ,2019,28.72,10629928,23705.9329811299,2.246,0,15,72.8498744351241,42.3,1,0,60.84
DE,2019,61.38,82905782,48916.1686612154,3.384,0,61,81.1423036204018,46.0,0,1,76.15
DK,2019,66.08,5793636,61324.7665045565,5.131,0,46,88.1059762310689,41.8,0,1,84.6
EE,2019,37.6,1321977,23618.1361254581,5.412,0,15,69.2803532930133,42.0,1,1,63.67
EL,2019,58.69,10732882,19873.4015238771,19.179,1,38,78.0490656849874,44.7,1,1,71.76
ES,2019,60.73,46782011,30602.4212881113,15.255,0,33,79.5580057813361,43.5,0,1,71.76
FI,2019,40.8,5515525,49654.2497035329,7.361,0,24,72.3423467740343,42.7,0,1,68.73
FR,2019,50.12,67158348,41418.1766484844,9.018,0,61,78.6714432536599,41.6,0,1,42.64
HR,2019,29.85,3988775,15460.3669595491,8.322,0,6,56.093170097094,44.3,1,1,52.59
HU,2019,43.36,9706964,16605.0570511887,3.667,0,15,70.4711761474609,42.6,1,1,69.67
IE,2019,49.7,4898022,80804.1123164826,5.741,0,46,63.0844503476779,37.3,0,0,65.09
IT,2019,54.5,60148658,34904.1081923834,10.538,0,61,69.4800033569336,46.4,0,1,72.93
LT,2019,53.48,2819200,19247.2315367967,6.147,0,15,67.1464742010457,44.0,1,1,50.64
LU,2019,84.24,607950,116926.759593905,5.589,1,61,92.6709441899184,39.4,1,1,89.66
LV,2019,33.53,1927174,17252.1710428626,7.412,0,15,68.0160346376376,43.3,1,0,54.58
